theme,role,status,exercise_id,transfer_level,prerequisites,source_path,source_concept,competency,acceptance,requires_real_root
histogram-anatomy,normal,implemented,cpp-root-histogram-inspect,basic,cpp-root-histogram,course/notebooks/core/01-histograms-and-graphs.ipynb,histogram contents and statistics,"Inspect entries, bin contents and summary statistics of a TH1D instead of judging it only by its drawing.",Visible tests distinguish entries from selected bin contents and verify at least one bin-level observation.,true
histogram-anatomy,limitation,implemented,cpp-root-histogram-range,applied,cpp-root-histogram-inspect,course/notebooks/core/01-histograms-and-graphs.ipynb,"underflow, overflow and histogram range",Diagnose a histogram whose chosen range hides observations in underflow or overflow.,A deliberately bad range produces observable under/overflow; the learner identifies and corrects the representation problem.,true
histogram-anatomy,integration,implemented,cpp-root-histogram-selected-sample,transfer,cpp-root-histogram-range|cpp-count-above,course/notebooks/core/01-histograms-and-graphs.ipynb,histogram filling and inspection,"Apply a numerical selection to a sample, fill only surviving values, and inspect how the selection changed the histogram.","Tests jointly verify which values survive, histogram entries, range behavior and selected bin contents.",true
graphs,normal,implemented,cpp-root-tgraph-points,basic,cpp-root-histogram,course/notebooks/core/01-histograms-and-graphs.ipynb,ROOT graphs,Represent paired measurements with TGraph and inspect point coordinates.,The graph contains the intended ordered pairs and tests validate coordinates rather than cosmetic drawing settings.,true
graphs,limitation,planned,cpp-root-tgraph-irregular-x,applied,cpp-root-tgraph-points,course/notebooks/core/01-histograms-and-graphs.ipynb,graphs for paired x-y measurements,Recognize why paired measurements with irregular x coordinates should preserve their actual x values instead of being treated as equally spaced bins.,Tests use non-uniform x values so solutions that implicitly assume equal spacing fail observably.,true
graphs,integration,planned,cpp-root-tgraph-calibration,transfer,cpp-root-tgraph-irregular-x,course/notebooks/core/01-histograms-and-graphs.ipynb,TGraph analysis of paired measurements,Use a TGraph to represent a small calibration curve and extract an interpretable comparison between measured and expected values.,"A deterministic calibration sample verifies coordinates and a derived comparison from the graph data, not drawing style.",true
tf1-model,normal,implemented,cpp-root-tf1-evaluate,basic,cpp-root-histogram-inspect,course/notebooks/core/01-histograms-and-graphs.ipynb,TF1 functions and parameters,"Represent a mathematical model with TF1, set parameters and evaluate it at selected x values.",Tests verify model values before and after a parameter change.,true
tf1-model,limitation,implemented,cpp-root-tf1-range-parameters,applied,cpp-root-tf1-evaluate,course/notebooks/core/01-histograms-and-graphs.ipynb,TF1 range and parameters,Diagnose a TF1 whose range or parameter configuration makes an otherwise valid model inappropriate for the requested domain.,Tests include points inside and outside the intended modeling region and expose a parameter/range choice that changes interpretation.,true
tf1-model,integration,implemented,cpp-root-fit-gaussian,transfer,cpp-root-tf1-range-parameters|cpp-root-histogram-inspect,course/notebooks/core/01-histograms-and-graphs.ipynb,histogram fitting with ROOT functions,Fit a deterministic peaked histogram with a simple model and interpret fitted location and width.,Fit parameters land in justified deterministic tolerances and feedback refers to model/data behavior rather than syntax.,true
fit-reasoning,normal,planned,cpp-root-fit-result-inspect,applied,cpp-root-fit-gaussian,course/notebooks/core/01-histograms-and-graphs.ipynb,fit results and fitted parameters,Inspect fit status and fitted parameters rather than treating a drawn curve as proof of a good fit.,Tests require reading deterministic fit outputs and verifying the salient fitted quantities.,true
fit-reasoning,limitation,planned,cpp-root-fit-diagnose-model,transfer,cpp-root-fit-result-inspect,course/notebooks/core/01-histograms-and-graphs.ipynb,modeling and histogram fitting,Diagnose a plausible fit that is misleading because the model or fit range does not match the data structure.,Two candidate configurations produce observably different fit quality or recovered parameters; the learner must identify the causal mismatch.,true
fit-reasoning,integration,planned,cpp-root-fit-peak-background,challenge,cpp-root-fit-diagnose-model,course/exercises/core/fitting-exercise.ipynb,Lorentzian peak over quadratic background,Combine a peak and background into a composite model for data that cannot be represented by a single simple peak.,The composite model recovers the salient peak behavior within deterministic tolerances and exposes failure of an under-specified model.,true
