theme,role,status,exercise_id,transfer_level,prerequisites,source_path,source_concept,competency,acceptance,requires_real_root
snapshot,normal,planned,cpp-root-rdf-snapshot,basic,cpp-root-rdf-pipeline|cpp-root-tfile-key-diagnostics,course/notebooks/core/05-rdataframe-features.ipynb,Snapshot processed data,Persist selected processed columns with Snapshot and reopen the result.,"The output contains the expected tree, row count and selected columns.",true
snapshot,limitation,planned,cpp-root-rdf-snapshot-schema,applied,cpp-root-rdf-snapshot,course/notebooks/core/05-rdataframe-features.ipynb,Snapshot output columns,Diagnose an output Snapshot that accidentally stores the wrong schema or omits a required derived column.,Tests compare intended and actual output columns and require the minimum useful schema.,true
snapshot,integration,planned,cpp-root-rdf-snapshot-reuse,transfer,cpp-root-rdf-snapshot-schema,course/notebooks/core/05-rdataframe-features.ipynb,Snapshot result reused as RDataFrame,"Create a reduced analysis dataset with Snapshot, reopen it and continue a second-stage RDataFrame analysis.",A second-stage action on the persisted dataset reproduces expected values without depending on the original dataframe.,true
cutflow,normal,planned,cpp-root-rdf-cutflow,basic,cpp-root-rdf-pipeline,course/notebooks/core/05-rdataframe-features.ipynb,named filters and Report,Name sequential filters and use Report to inspect per-cut survival.,Visible tests verify per-cut all/pass counts.,true
cutflow,limitation,planned,cpp-root-rdf-cutflow-diagnose,transfer,cpp-root-rdf-cutflow,course/notebooks/core/05-rdataframe-features.ipynb,cutflow report for sequential filters,Diagnose which cut unexpectedly removes events instead of judging only the final event count.,A pipeline with one incorrect cut is localized using per-cut counts rather than only the final result.,true
cutflow,integration,planned,cpp-root-rdf-cutflow-histogram,challenge,cpp-root-rdf-cutflow-diagnose|cpp-root-rdf-filter-histogram,course/notebooks/core/05-rdataframe-features.ipynb,Report plus downstream analysis outputs,Use a cutflow and a post-selection histogram together to explain both selection efficiency and the shape of survivors.,Tests verify cut survival and final histogram contents from the same selection chain.,true
cpp-helper,normal,planned,cpp-root-rdf-cpp-helper,basic,cpp-root-rdf-define,course/notebooks/core/05-rdataframe-features.ipynb,C++ functions inside RDataFrame workflows,Use a small pure C++ helper from Define for a reusable calculation.,The helper is tested independently and its derived column matches expected values.,true
cpp-helper,limitation,planned,cpp-root-rdf-thread-safe-helper,transfer,cpp-root-rdf-cpp-helper,course/notebooks/core/05-rdataframe-features.ipynb,EnableImplicitMT and thread-safe user functions,Recognize why helper code used under implicit multithreading must avoid unsafe shared mutable state.,The accepted implementation is deterministic and pure; the exercise does not rely on reproducing a flaky race.,true
cpp-helper,integration,planned,cpp-root-rdf-helper-pipeline,challenge,cpp-root-rdf-thread-safe-helper|cpp-root-rdf-pipeline,course/notebooks/core/05-rdataframe-features.ipynb,C++ helpers with multithreaded RDataFrame,Use a pure C++ helper inside a selected RDataFrame pipeline that remains correct with implicit multithreading enabled.,Single-thread and implicit-MT runs produce the same deterministic selected results.,true
multi-sample,normal,planned,cpp-root-rdf-rungraphs,basic,cpp-root-rdf-book-before-run,course/notebooks/core/06-rdataframe-advanced.ipynb,multiple concurrent RDataFrame runs with RunGraphs,Run independent RDataFrame result graphs together with RunGraphs.,Two deterministic sample graphs produce their expected independent results.,true
multi-sample,limitation,planned,cpp-root-rdf-rungraphs-eager,transfer,cpp-root-rdf-rungraphs,course/notebooks/core/06-rdataframe-advanced.ipynb,RunGraphs and result dereferencing,Recognize that dereferencing each sample result before RunGraphs defeats the intended concurrent scheduling pattern.,The exercise contrasts the scheduling structure without using wall-clock timing as the correctness oracle.,true
multi-sample,integration,planned,cpp-root-rdf-compare-samples,challenge,cpp-root-rdf-rungraphs-eager|cpp-root-rdf-cutflow,course/notebooks/core/06-rdataframe-advanced.ipynb,multiple dataframes with shared analysis logic,"Apply the same derived quantity and selection to two samples, run them together and compare their resulting summaries.",Both samples use the same analysis definition and produce independently verified counts or histograms for comparison.,true
redefine,normal,planned,cpp-root-rdf-redefine,basic,cpp-root-rdf-define,course/notebooks/core/06-rdataframe-advanced.ipynb,Redefine column values,Use Redefine when values change but the semantic meaning of an existing column is intentionally preserved.,Downstream analysis sees the updated values under the original column name.,true
redefine,limitation,planned,cpp-root-rdf-redefine-semantics,transfer,cpp-root-rdf-redefine,course/notebooks/core/06-rdataframe-advanced.ipynb,Redefine versus defining a distinct quantity,Recognize when Redefine would hide a change of meaning and a new Define is clearer.,Two candidate transformations are contrasted so preserving a misleading column name fails the semantic acceptance case.,true
redefine,integration,planned,cpp-root-rdf-calibrated-column,challenge,cpp-root-rdf-redefine-semantics|cpp-root-rdf-filter-histogram,course/notebooks/core/06-rdataframe-advanced.ipynb,Redefine reused by downstream analysis,Apply a calibration-like correction with Redefine and reuse the unchanged downstream selection/action chain.,The same downstream logic produces corrected deterministic outputs after the column update.,true
